name,description,link
Young Thug,The emotion and layer that Young Thug displays in his music shows not only meticulous creation but depth of thought.,https://www.youtube.com/watch?v=n_QYzpOAmFw
Travis Scott,The production value of Travis Scott's music outmatches any of his competitors.,https://www.youtube.com/watch?v=aYYRKW8_pFM
Drake,"Drake displays range as a rapper, r&b singer, spanish singer and much much more, things his competitors can't do.",https://www.youtube.com/watch?v=DRS_PpOrUZ4
Juice Wrld,"At 19 years old, Juice Wrld displays some of the rawest natural talent the industry has ever seen.",https://www.youtube.com/watch?v=cr82wSBZeeQ
Future,"Future is a machine, it is rumored that he is capable of making an entire album in one day…and he has. ",https://www.youtube.com/watch?v=6WkySwfWh6Y
